,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/gene/?term=,,,"Enter below the search word(s) contained in column E, gene description--current count for T cells is 9",,,,,,,,,,,,,,X11249_average counts,X11250_average counts,X11251_average counts,X11253_average counts,X11257_average counts,X11258_average counts,X11247_average counts,X11248_average counts,X11252_average counts,X11254_average counts,X11255_average counts,X11256_average counts,,,,,,0.05,2,-2
ID ,NCBI hyperlink,number ID,alias,description,T cells,chr_start_stop,exons,calculated ratio,abs of calc fold,calc fold,baseMean,log2FoldChange,lfcSE,stat,TREND pvalue,publication p-value deseq adj,abs of deseq fold,deseq fold AP2 / WT,AP,AP,AP,AP,AP,AP,WT,WT,WT,WT,WT,WT,,,,,,,,
Camp,Camp,12796,"CAP18, Cnlp, Cramp, FALL39, MCLP",cathelicidin antimicrobial peptide,,9_109847377_109849456,4, 0.54 ,2,-1.84,218.9125328,-0.884819737,0.27161521,-3.257622195,0.0011,0.99974,2,-1.85, 166.1 , 184.3 , 78.0 , 152.9 , 202.5 , 140.0 , 222.3 , 204.5 , 171.4 , 414.6 , 383.8 , 306.6 ,,,,,,,,
Lyz1,Lyz1,17110,"Lyz, Lyzf3, Lzp-s",lysozyme 1,,10_117287795_117292868,4, 0.09 ,11,-11.32,47.19750186,-3.517905107,1.094528041,-3.214084039,0.0013,0.99974,11,-11.45, 1.7 , 12.6 , 12.6 , 4.9 , 10.5 , 3.6 , 243.6 , 4.9 , 12.5 , 1.0 , 15.3 , 243.1 ,,,,,,,,
3830403N18Rik,3830403N18Rik,70691,Xlrl,RIKEN cDNA 3830403N18 gene,,X_55839252_56153496,12, 3.69 ,4,3.69,94.70263151,1.885919826,0.59249153,3.18303255,0.0015,0.99974,4,3.70, 63.5 , 255.0 , 48.2 , 109.7 , 90.8 , 326.7 , 47.9 , 17.6 , 90.4 , 35.2 , 10.7 , 40.8 ,,,,,,,,
Hltf,Hltf,20585,"AF010600, BC057116, P113, Smarca3, Snf2l3",helicase-like transcription factor,,3_20057807_20118491,27, 0.15 ,6,-6.46,5.486826257,-2.438272065,0.782853228,-3.114596679,0.0018,0.99974,5,-5.42, 1.7 , -   , 2.3 , 2.5 , 2.3 , -   , 11.6 , 4.9 , 10.9 , 6.2 , 0.8 , 22.7 ,,,,,,,,
Spop,Spop,20747,"AI315626, Pcif1, TEF2",speckle-type POZ protein,,11_95414063_95493410,11, 1.72 ,2,1.72,147.8620846,0.777941927,0.256274695,3.035578391,0.0024,0.99974,2,1.71, 152.2 , 136.4 , 170.9 , 146.1 , 240.8 , 274.6 , 138.0 , 107.4 , 144.9 , 64.3 , 80.9 , 117.8 ,,,,,,,,
Rod1,Rod1,0,#N/A,#N/A,,#N/A,#N/A, 1.52 ,2,1.52,326.7838274,0.600502508,0.198374159,3.02712062,0.0025,0.99974,2,1.52, 262.6 , 469.7 , 392.3 , 319.4 , 387.4 , 534.9 , 245.4 , 239.1 , 311.7 , 260.2 , 263.2 , 235.6 ,,,,,,,,
Slc25a14,Slc25a14,20523,"BMCP1, UCP5, UCP5L, UCP5S","solute carrier family 25 (mitochondrial carrier, brain), member 14",,X_48623418_48662298,14, 0.34 ,3,-2.90,8.359666502,-1.539032826,0.510379218,-3.015469227,0.0026,0.99974,3,-2.91, 1.7 , 2.5 , 3.4 , 5.5 , 3.5 , 9.0 , 9.0 , 9.7 , 10.9 , 17.6 , 15.3 , 12.1 ,,,,,,,,
Rnpc3,Rnpc3,67225,"2810441O16Rik, AI447568, C030014B17Rik","RNA-binding region (RNP1, RRM) containing 3",,3_113605067_113630149,15, 1.92 ,2,1.92,63.67217576,0.931248691,0.310754236,2.99673692,0.0027,0.99974,2,1.91, 64.3 , 108.6 , 71.1 , 39.5 , 102.4 , 116.7 , 48.2 , 47.3 , 60.8 , 24.9 , 25.9 , 54.4 ,,,,,,,,
Pctp,Pctp,18559,"PC-TP, StarD2",phosphatidylcholine transfer protein,,11_89982544_90002894,6, 0.46 ,2,-2.19,15.96904604,-1.123921378,0.380387371,-2.954675844,0.0031,0.99974,2,-2.18, 9.6 , 7.6 , 11.5 , 6.2 , 12.8 , 12.6 , 24.3 , 15.2 , 32.7 , 17.6 , 16.0 , 25.7 ,,,,,,,,
Dgkz,Dgkz,104418,"E130307B02Rik, F730209L11Rik, mDGK[z]",diacylglycerol kinase zeta,,2_91932822_91976443,35, 0.30 ,3,-3.35,5.463082529,-1.840918385,0.627400773,-2.934198464,0.0033,0.99974,4,-3.58, 1.7 , 2.5 , -   , 3.1 , 2.3 , 5.4 , 10.9 , 7.3 , 9.4 , 6.2 , 10.7 , 6.0 ,,,,,,,,
Pfkfb4,Pfkfb4,270198,C230090D14,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4",,9_108988269_109032236,17, 1.65 ,2,1.65,66.44222752,0.690239998,0.239106334,2.88674912,0.0039,0.99974,2,1.61, 85.2 , 73.2 , 98.6 , 86.9 , 73.3 , 79.0 , 77.5 , 49.8 , 40.5 , 46.6 , 47.3 , 39.3 ,,,,,,,,
Lmo1,Lmo1,109594,"Rbtn-1, Rbtn1, Ttg1",LIM domain only 1,,7_109138565_109175341,5, 0.24 ,4,-4.14,5.833642771,-1.797848498,0.624691963,-2.877976033,0.0040,0.99974,3,-3.48, 1.7 , -   , 2.3 , 4.9 , 4.7 , -   , 7.5 , 9.7 , 6.2 , 15.5 , 6.9 , 10.6 ,,,,,,,,
Fam195b,Fam195b,192173,Mcrip1,"family with sequence similarity 195, member B",,11_120542888_120549727,5, 0.51 ,2,-1.97,25.00243741,-0.978410461,0.342947613,-2.852944366,0.0043,0.99974,2,-1.97, 21.7 , 15.2 , 9.2 , 14.8 , 18.6 , 21.5 , 24.1 , 25.5 , 21.8 , 42.5 , 51.9 , 33.2 ,,,,,,,,
Cenpq,Cenpq,83815,2610528M18Rik,centromere protein Q,,17_40923055_40934551,9, 1.65 ,2,1.65,599.3769559,0.719278154,0.254401303,2.827336753,0.0047,0.99974,2,1.65, 648.7 ," 1,012.6 ", 611.4 , 452.5 , 709.7 ," 1,041.2 ", 449.3 , 464.2 , 702.8 , 296.4 , 322.0 , 481.7 ,,,,,,,,
Ywhaz,Ywhaz,22631,"1110013I11Rik, 14-3-3zeta, AI596267, AL022924, AU020854","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",,15_36770261_36802984,9, 0.32 ,3,-3.13,8.011703997,-1.565559671,0.560085877,-2.795213621,0.0052,0.99974,3,-2.96, 4.3 , -   , 5.7 , 3.7 , 2.3 , 7.2 , 9.7 , 4.2 , 15.6 , 22.8 , 11.4 , 9.1 ,,,,,,,,
Ubac2,Ubac2,68889,"1190008A14Rik, AW554959, Phgdhl1",ubiquitin associated domain containing 2,,14_121878556_122021035,9, 0.50 ,2,-1.99,20.74307177,-1.030552862,0.371223443,-2.776098549,0.0055,0.99974,2,-2.04, 15.7 , 17.7 , 11.5 , 14.2 , 11.6 , 12.6 , 32.8 , 27.3 , 15.6 , 52.9 , 20.6 , 16.6 ,,,,,,,,
Ccni,Ccni,12453,0,cyclin I,,5_93181933_93206495,8, 1.45 ,1,1.45,429.0950242,0.532812941,0.191981458,2.775335419,0.0055,0.99974,1,1.45, 393.0 , 674.2 , 535.7 , 408.2 , 503.8 , 531.3 , 280.9 , 393.8 , 420.8 , 294.4 , 320.5 , 392.6 ,,,,,,,,
Mfap1b,Mfap1b,100034361,0,microfibrillar-associated protein 1B,,2_121461666_121474023,7, 11.76 ,12,11.76,3.963793009,2.891412767,1.045200789,2.766370632,0.0057,0.99974,7,7.42, 0.9 , 20.2 , 1.1 , 4.9 , 2.3 , 14.4 , 3.1 , 0.6 , -   , -   , -   , -   ,,,,,,,,
Bnip3l,Bnip3l,12177,"C86132, D14Ertd719e, Nip3L, Nix",BCL2/adenovirus E1B interacting protein 3-like,,14_66985238_67008877,8, 1.58 ,2,1.58,37611.39502,0.663642327,0.240181109,2.763091275,0.0057,0.99974,2,1.58," 32,058.7 "," 54,597.2 "," 37,865.1 "," 34,581.1 "," 48,830.3 "," 68,742.9 "," 22,031.0 "," 29,097.9 "," 45,474.0 "," 24,043.0 "," 22,624.0 "," 31,391.6 ",,,,,,,,
Slc35a4,Slc35a4,67843,2610030J16Rik,"solute carrier family 35, member A4",,18_36679215_36683862,4, 0.28 ,4,-3.60,5.413933597,-1.844318029,0.668110107,-2.760500118,0.0058,0.99974,4,-3.59, -   , -   , 4.6 , 2.5 , 3.5 , 3.6 , 9.4 , 6.1 , 7.8 , 9.3 , 15.3 , 3.0 ,,,,,,,,
Gpbp1,Gpbp1,73274,"1700034P14Rik, AU019836, D230035M11Rik, Gpbp, mGPBP",GC-rich promoter binding protein 1,,13_111425680_111490125,14, 1.73 ,2,1.73,1233.237253,0.794031224,0.292246537,2.716991043,0.0066,0.99974,2,1.73, 933.1 ," 2,217.0 "," 1,576.0 "," 1,029.6 "," 1,651.0 "," 1,978.2 ", 699.2 , 852.5 ," 1,806.1 ", 544.2 , 681.3 , 830.6 ,,,,,,,,
Cnot4,Cnot4,53621,"Not4, Not4h, Not4hp","CCR4-NOT transcription complex, subunit 4",,6_35022065_35133737,14, 4.77 ,5,4.77,3.550749783,2.188802389,0.806372989,2.714379595,0.0066,0.99974,5,4.56, 13.0 , 2.5 , 1.1 , 3.1 , 4.7 , 10.8 , 1.7 , 1.8 , 1.6 , -   , 0.8 , 1.5 ,,,,,,,,
Spib,Spib,272382,Spi-B,Spi-B transcription factor (Spi-1/PU.1 related),,7_44525995_44532087,6, 0.48 ,2,-2.07,14.63250255,-1.041956517,0.383963334,-2.713687544,0.0067,0.99974,2,-2.06, 7.8 , 7.6 , 16.1 , 9.2 , 9.3 , 7.2 , 19.8 , 24.3 , 9.4 , 21.8 , 19.1 , 24.2 ,,,,,,,,
Rmnd5a,Rmnd5a,68477,"1110007A06Rik, AJ237586, AW125795, Gid2, MTA.D02.090",required for meiotic nuclear division 5 homolog A,,6_71388634_71440643,10, 1.41 ,1,1.41,486.7599487,0.493329323,0.182917069,2.697010872,0.0070,0.99974,1,1.41, 514.8 , 686.8 , 516.2 , 442.1 , 579.4 , 676.7 , 377.7 , 331.3 , 469.1 , 338.9 , 414.3 , 493.8 ,,,,,,,,
